Id_product,Nom,reference,description,descriptioncourte,caract�ristique,caracat�ristqiue_value,imageurl
153,"test pack lot de 6",,,,,,preprod2018.isostar.fr/0/test-pack.jpg
152,"Gels Energy Booster Cola 20g Vrac",2029011000,,,,,preprod2018.isostar.fr/288/gels-energy-booster-cola-20g-vrac.jpg
95,"Sac pour chaussures",2172490000,"<p>Petit accessoire indispensable pour garder son sac de sport à hors des chaussures boueuses ou mouillées.</p>
<p>Idéale également comme petit sac d'appoint</p>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/215/sac-a-dos-pour-chaussures.jpg
93,"Casquette trucker",2169850000,"<ul><li>Matière respirante Mesh a l'arriére</li>
<li>Avant en mousse, impression par sublimation</li>
<li>Réglage à l'arrière par clip ajustable</li>
</ul><p style=""font-family:Helvetica;""></p>
<p style=""font-family:Helvetica;""></p>
<p></p>
<p style=""font-family:Helvetica;""></p>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;","preprod2018.isostar.fr/234/casquette-trucker.jpg,preprod2018.isostar.fr/233/casquette-trucker.jpg"
90,"Pochette à déchets",2169790000,"<p><span style=""float:none;background-color:#ffffff;color:#323130;font-family:Calibri, sans-serif;font-size:11pt;font-style:normal;font-variant:normal;font-weight:400;letter-spacing:normal;text-align:left;text-decoration:none;text-indent:0px;text-transform:none;white-space:normal;word-spacing:0px;"">Petite pochette filet porte-déchets très pratique. Permet de récupérer les déchets des barres, gels, sans polluer l'environnement.</span><b></b><i></i><span style=""text-decoration:underline;""></span><sub></sub><sup></sup><span style=""text-decoration:line-through;""></span></p>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/285/pochette-a-dechets.jpg
84,"Porte dossard jaune",2051550000,"<p><span style=""font-size:11pt;font-family:Calibri, sans-serif;"">Petit accessoire très pratique pour toutes vos compétitions de course à pied, la ceinture porte-dossard est facile d'utilisation avec ses 2 points d’accroches. Fini le stress du départ à chercher ses épingles à nourrisse.</span></p>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;","preprod2018.isostar.fr/287/porte-dossard.jpg,preprod2018.isostar.fr/286/porte-dossard.jpg"
81,"Bidon Black 1000 ml",1944111000,,,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/291/bidon-black-1000-ml.jpg
72,"Sticks de Bicarbonates",1957011001,"<ul><li>Source de glucides (4,4g/stick)</li>
<li>Source de bicarbonate de soude</li>
<li>Source de Vitamine B1</li>
<li>Source de Magnesium</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/242/sticks-de-bicarbonates.jpg
71,"Whey Protein chocolat",2124951000,"<ul><li>Riche en protéines (22g/250ml)</li>
<li>Faible teneur en sucre et en gras</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/241/whey-protein-chocolat.jpg
70,"Whey Protein vanille",2124961000,"<ul><li>Riche en protéines (22g/250ml)</li>
<li>Faible teneur en sucre et en gras</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/240/whey-protein-vanille.jpg
69,"High Protein 90 chocolat",2124971000,"<ul><li>Riche en protéines (20g/200ml)</li>
<li>Source de Vitamines E, C, B1, B2, B6, et PP</li>
<li>Source de Calcium &amp; Magnesium</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/271/high-protein-90-chocolat.jpg
68,"High Protein 90 neutre",2124991000,"<ul><li>Riche en protéines (21g/200ml)</li>
<li>Source de Vitamines E, C, B1, B2, B6, &amp; PP</li>
<li>Source de Calcium &amp; Magnesium</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/272/high-protein-90-neutre.jpg
67,"Mass Gainer vanille",2125031000,"<ul><li>Riche en protéines (12g/250ml)</li>
<li>Source de glucides (34g/250ml)</li>
<li>Source de Vitamines E, C, B1, B2, B6, &amp; PP</li>
<li>Source de Calcium &amp; Magnesium</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;",preprod2018.isostar.fr/239/mass-gainer-vanille.jpg
66,"Barres High Protein 25 fraise (3 barres)",1878181000,"<ul><li>Riche en protéines (8,8g/barre)</li>
<li>Source de glucides (17,8g/barre)</li>
<li>Source de Potassium &amp; Calcium</li>
<li>Source de Vitamines B1, B2, PP, B6, E &amp; C</li>
</ul>",,"Par objectif","-Apport d'énergie;-Hydratation;-Préparation ;-Récupération ;-Renfocement muscluaire ;","preprod2018.isostar.fr/161/barres-high-protein-25-fraise.jpg,preprod2018.isostar.fr/128/barres-high-protein-25-fraise.jpg"
